routeId,capacity,deliveriesNumber,routeCreationTimestamp
r-shiinc-241827,4,38,"2020-05-06 00:59:58"
r-shiinc-241828,4,45,"2020-05-06 01:00:19"
r-shiinc-241829,4,41,"2020-05-06 01:01:00"
r-shiinc-241830,4,43,"2020-05-06 01:01:54"
r-shiinc-241831,4,36,"2020-05-06 01:02:04"
r-shiinc-241832,4,33,"2020-05-06 01:02:42"
r-shiinc-241833,4,39,"2020-05-06 01:02:45"
r-shiinc-241834,4,34,"2020-05-06 01:03:14"
r-shiinc-241835,4,42,"2020-05-06 01:03:37"
r-shiinc-241836,4,40,"2020-05-06 01:04:38"
r-shiinc-241837,4,47,"2020-05-06 01:04:58"
r-shiinc-241838,4,43,"2020-05-06 01:05:04"
r-shiinc-241923,5,75,"2020-05-06 04:03:13"
r-shiinc-241924,5,91,"2020-05-06 04:03:26"
r-shiinc-241925,5,60,"2020-05-06 04:03:38"
r-shiinc-241926,5,86,"2020-05-06 04:03:44"
r-shiinc-241927,5,82,"2020-05-06 04:04:00"
r-shiinc-241928,5,88,"2020-05-06 04:04:01"
r-shiinc-241929,5,89,"2020-05-06 04:04:12"
r-shiinc-241930,5,99,"2020-05-06 04:04:32"
r-shiinc-241931,5,99,"2020-05-06 04:04:33"
r-shiinc-241932,5,90,"2020-05-06 04:04:43"
r-shiinc-241933,5,109,"2020-05-06 04:05:56"
r-shiinc-241934,5,106,"2020-05-06 04:07:28"
r-shiinc-241964,5,19,"2020-05-06 06:59:17"
r-shiinc-241965,5,18,"2020-05-06 06:59:19"
r-shiinc-241966,5,19,"2020-05-06 06:59:20"
r-shiinc-241967,5,19,"2020-05-06 06:59:21"
r-shiinc-242098,3,2,"2020-05-06 13:06:04"
r-shiinc-242099,3,2,"2020-05-06 13:06:04"
r-shiinc-242100,3,4,"2020-05-06 13:06:05"
r-shiinc-242115,3,14,"2020-05-06 13:24:13"
r-shiinc-242123,3,21,"2020-05-06 13:25:30"
r-shiinc-242125,3,9,"2020-05-06 13:26:48"
r-shiinc-242130,3,19,"2020-05-06 13:29:32"
r-shiinc-242131,3,19,"2020-05-06 13:29:32"
r-shiinc-242132,3,20,"2020-05-06 13:29:32"
r-shiinc-242134,3,11,"2020-05-06 13:29:35"
r-shiinc-242142,3,2,"2020-05-06 13:32:26"
r-shiinc-242143,3,19,"2020-05-06 13:32:29"
r-shiinc-242144,3,9,"2020-05-06 13:33:15"
r-shiinc-242148,3,15,"2020-05-06 13:35:39"
r-shiinc-242149,3,4,"2020-05-06 13:36:19"
r-shiinc-242151,3,10,"2020-05-06 13:37:02"
r-shiinc-242152,3,18,"2020-05-06 13:37:05"
r-shiinc-242153,3,9,"2020-05-06 13:37:10"
r-shiinc-242154,3,13,"2020-05-06 13:37:10"
r-shiinc-242155,3,9,"2020-05-06 13:37:11"
r-shiinc-242156,3,7,"2020-05-06 13:37:11"
r-shiinc-242157,3,6,"2020-05-06 13:38:18"
r-shiinc-242159,3,12,"2020-05-06 13:38:35"
r-shiinc-242160,3,14,"2020-05-06 13:38:35"
r-shiinc-242162,3,24,"2020-05-06 13:39:37"
r-shiinc-242168,3,12,"2020-05-06 13:42:13"
